text,label
"python machine learning deep learning tensorflow keras data science","ML Engineer"
"python pandas numpy data analysis statistics visualization","Data Scientist"
"java spring boot microservices backend api sql","Backend Developer"
"html css javascript react angular frontend ui ux","Frontend Developer"
"c++ data structures algorithms competitive programming","Software Engineer"
"python django flask web development backend api","Backend Developer"
"sql database mysql postgresql database design","Database Administrator"
"aws cloud computing devops docker kubernetes ci cd","DevOps Engineer"
"android kotlin java mobile app development","Mobile Developer"
"ios swift mobile application development","Mobile Developer"
"react nodejs express mongodb full stack development","Full Stack Developer"
"cyber security ethical hacking penetration testing","Security Analyst"
"python nlp natural language processing transformers","NLP Engineer"
"computer vision opencv image processing deep learning","CV Engineer"
"power bi tableau data visualization business intelligence","Data Analyst"